,Author Name,Review Date,Reviewer Ratings,Likes,Review Body,Developer Reply
1,大啊狄,2019年6月1日,1,2, 不是讓我卡就是當機跟電音 還有一個是每次要打人或不打人的時候就自己轉向另一個方向 可以請問一下這是有點針對Samsung a8型號嗎？,"HotCool Game2019年6月1日親愛的玩家，很抱歉讓你遇到這樣的狀況！我們很樂意為你解決任何你所遇到的問題。
為了避免這樣的情況，還請您確認：
- 訊號強且穩定的 WIFI （若問題仍發生可嘗試使用其他WIFI） 
- 後台並無運行其他應用程式
- 允許應用程式權限
- 安裝遊戲於內存空間而並非 SD 卡
- 充足的內存空間（至少4GB）
- 作業系統已更新。
同時這裡也建議您切換 3G/4G 至 WIFI 或更穩定的網路環境，以確認問題是否已解決。
若問題仍持續存在，請您隨時透過遊戲設定內的客戶服務或發送郵件至  pubgm@hotcool.com.tw  與我們聯繫，我們將竭誠為您服務。"
2,指心,2019年4月20日,3,303, 這遊戲出了有點小頓 其他都還可以 但如果有台灣旗幟的話可能會比較能更好 還有東西越買越貴真的感覺不是很好,"HotCool Game2019年4月26日親愛的玩家，您好!

感謝您對《絕地求生M》的支持!
我們已經記錄您的意見，並會努力提供一個更好的遊戲環境。

關於遊戲進行不流暢的問題，為了避免這樣的情況，還請您確認：
- 訊號強且穩定的 WIFI （若問題仍發生可嘗試使用其他WIFI） 
- 後台並無運行其他應用程式
- 允許應用程式權限
- 安裝遊戲於內存空間而並非 SD 卡
- 充足的內存空間（至少4GB）
- 作業系統已更新。
同時這裡也建議您切換 3G/4G 至 WIFI 或更穩定的網路環境，以確認問題是否已解決。
若問題仍持續存在，請您隨時透過遊戲設定內的客戶服務或發送郵件至  pubgm@hotcool.com.tw  與我們聯繫，我們將竭誠為您服務。"
3,奈緒Nasu,2019年6月2日,2,67, 玩起來還可以 就是很該死的耗電量超大，然後有時候玩到一半會卡一下，而且講真的台灣國籍在哪，還是你們又是只會說什麼不回答遊戲外的問題？你們是怕還是孬 搞不懂是在屁什麼的,
4,石邱氏,2019年4月20日,5,721, 我找不到我們國家的國旗 按搜尋也沒有 是紅色的 左上角是藍白色的 它代表著青天白日滿地紅 能幫我找找嗎？,
5,Jean Wu,2019年4月20日,2,437, 我一直連不上伺服器 這是bug吧！請改善 謝謝 還有放上台灣國旗 謝謝 並打 Taiwan 中華台北是奧運用的 因為大陸問題才這樣 我們叫台灣 Taiwan 改進謝謝,
6,陳鳳枝,2019年4月21日,4,433, 我全部遊戲我都給五星 就你們不能給 為什麼沒有台灣的國旗 開版就要有台灣的國旗 不然你們是在歧視台灣嗎 千萬不準歧視台灣不然他會x得很慘,
7,無聊阿仲,2019年4月20日,2,310, 雖然我會遊玩這個遊戲 但還請貴公司尊重臺灣 不要寫成中國臺灣 請寫 臺灣 並附上我們的國旗 既然在臺灣出這個遊戲 請不要放入貴公司的想法 請更正 謝謝,
8,水心草監,2019年5月28日,1,458, 我喜歡玩射擊遊戲 玩五年了 前陣子看到這遊戲要上架很開心 我立刻預約 終於不用繼續玩中國代理的刺激戰場 一上架就下載了 但是現在我很失望 因為我找不到我的國家 這是一個國際遊戲吧 希望官方還給我一個正確的國籍。我很失望,
9,濕王君,2019年4月19日,4,8961, 不錯玩 可是有些 Bug 還有你們出的是台灣版 就請尊重台灣 我們台灣是有尊嚴的 起你之後更新把台灣國旗加上去,
10,酷雪,2019年4月19日,1,873, 沒有台灣國旗 什麼中華台北 要出給台灣玩就不要用中華台北 要台灣國旗好嗎 然後玩了 還那麼頓 可不可以更新一下遊戲品質啊 要給人玩還那麼頓 頓是要給誰玩 給烏龜嘛,
11,Li Shao,2019年4月20日,1,794, 為何沒有台灣國旗，繁體字也沒，遊戲裡連Taiwan也不能打，跟本就沒在尊重臺灣人，一開始我還期待了很久，結果呢？下載下來的跟本就是個米田共Game 貴公司，你成功了，恭喜你🎉,
12,張晁瑋,2019年4月20日,1,150, 淦尼嬤B，我們台灣要騙你們中國錢有拿出92沒有共識的共識誠意出來，你們現在要騙我們台灣人錢是不是也要拿出點誠意？整天統統統，統膩嬤B來要統的都來台灣，站立技一個個全部擊倒,
13,潘泰宏,2019年4月22日,1,335, 我覺得你們被評一星真是剛好 為啥呢？ 白目啊！ 來台灣出版其他國家全部都正常用中文顯示 結果我們這邊給我用英文來的中華台北？ 那你乾脆點不要在台灣上市 去大陸就好 真是有,
14,Delay NoMore,2019年4月19日,1,354, 槍聲跟腳步聲在方向上不太準 有點難聽音辨位 btw沒有台灣國旗只能給一星了,"HotCool Game2019年4月20日親愛的玩家，您好!
感謝您提供的寶貴建議！

我們已經記錄您的建議，《絕地求生M》開發團隊將會盡力為您解決，感謝您的耐心與支持！
若您有其他任何問題，也歡迎您隨時透過遊戲設定內的客戶服務或發送郵件至pubgm@hotcool.com.tw與我們聯繫，我們將竭誠為您服務。"
15,宇田川茨実,2019年4月20日,1,236, 中華臺北？我不知道為什麼要打入臺灣市場還要那麼小氣八啦！臺灣在哪裡？沒有臺灣至少中華民國我也接受。現在，臺灣人要玩的話，請選擇新加坡國旗或是日本國旗,
16,你好我是東粉,2019年4月20日,1,75, 既然是國際服那就把臺灣國旗給加上因為臺灣也是個國家最起碼的尊重還是要有,
17,Quit殺狼,2019年4月19日,1,171, Chinese Taipei? 我還以為我在比奧運耶！ 以為給這樣的名詞是給我們尊重嗎？中華民國的國旗呢！賺中華民國的錢是不用給中華民國的國旗是不是啦！給個總重很困難嗎？,
18,惡魔,2019年4月20日,2,313, 遊戲還不錯，但是沒有臺灣國旗，就跟其他人講的一樣，請尊重我們臺灣，而且奧運會旗明明只適用奧運時，因為XXXX打壓所以大家才用奧運會旗，請給我們臺灣國旗，謝謝,
19,豬仔XD PigLin,2019年4月19日,1,297, 希望遊戲公司可以好好的去重讀地理，認識一下世界地圖，有個地方叫台灣它有國旗請用您尚未殘廢的眼睛看清楚，還有問問你的國文老師，尊重要怎麼寫，學習無止盡，要用心喔！ 然後把國旗加上去，好嗎？,
20,很瀟灑,2019年4月19日,1,1887, 下載到一半看到評論 沒台灣國旗 就直接不玩了 如果要給台灣民眾玩 請貴公司有基本的尊重 （這是遊戲內的問題）,
21,Alex Alex,2019年4月21日,1,251," 說實話,我認爲一星都多,其一,請問中華民國的國旗在哪裏?其二,請問你們的優化到底在哪裏,真心不懂爲什麼全軍出擊不能出國際服而你們可以,在產品質量上你們的遠遠不及全軍出擊",
22,天策魂,2019年4月19日,1,48, 第一 會卡oppor11開高禎還卡是能玩什麼，二 那麼想抱中國的大腿就別自稱台服好嗎，想賺我們的錢還想巴結對面嗎？真是可笑,
23,蘇詠嫺,2019年4月23日,1,161, 畫面卡，靈敏度也超爛換了一支手機也是這樣，就不說中華台北是什麼東西了~想要在台灣上市這個遊戲就請尊重台灣！謝謝 靈敏度啥時可以調好？？,"HotCool Game2019年4月23日親愛的玩家您好，

感謝您寶貴的意見。我們已經記錄您的建議，並且轉達給相關單位處理。
感謝您的支持，我們會努力提供一個更好的遊戲環境。

若您未來還有任何建議或想法，歡迎您隨時透過遊戲設定內的客戶服務或發送郵件至  pubgm@hotcool.com.tw  與我們聯繫，並提供確切的詳細資訊，我們將竭誠為您服務。"
24,余鬼鬼,2019年5月5日,3,154, 請遊戲廠商 尊重台灣人 我們的國家 叫中華民國 不叫中國台灣 你放了Chinese Taipei的會旗 就麻煩顯示中華台北 不要顯示 中國台北,
25,遊戲者,2019年4月20日,3,218, 好玩是好玩 ， 但是開發公司練基本的尊重都沒有 台灣的國旗嘞??? 連一個基本的尊重都沒有，那做出一個在好的遊戲，都沒用，所以請那出你們的心意，別再說是遊戲外的事，就是因為在遊戲裡看不到我們台灣的國旗才講出來。請你們盡快修正。 修正後給五星。,
26,儒儒,2019年4月19日,1,416, 光一個Chinese taipei 就讓我很感冒了 然後還一直推銷 遊戲畫面有很卡 靈敏度調最低還是很難用是發生什麼事,
27,葳AW,2019年4月20日,2,230, 原本滿期待開放台灣服的，結果沒想到玩起來這麼卡，不如去玩國際服的。還有，竟然都已經開放台灣服了，國旗還是用中華台北是怎樣，想賺台灣人的錢也不是這樣不尊重啊!,"HotCool Game2019年4月20日親愛的玩家，您好!

遊戲出現卡頓的現象，請你確認以下事宜:

《絕地求生M》 目前對於設備的最低要求如下：
Android:
 -作業系統: Android 5.1.1 或以上.
 -RAM:至少 2GB.

若您的設備已達以上要求但問題仍發生，還請您確認以下幾點：
- 您的畫面設定已設為 【低】和【流暢】
- 充足的內存空間（至少4GB）
- 後台並無運行其他應用程式
- 訊號強且穩定的 WIFI （若問題仍發生可嘗試使用其他WIFI） 

希望以上方式能夠解決您的問題。
若您有其他任何問題，也歡迎您隨時透過遊戲設定內的客戶服務或發送郵件至pubgm@hotcool.com.tw與我們聯繫，我們將竭誠為您服務。"
28,小臣臣,2019年4月20日,1,171, 致貴公司，您為了賺取人民幣，歧視台灣人，我們先送你1顆星，在幫貴公司推廣這歧視台灣人遊戲，而且台灣人不會儲值一分一毛錢。,
29,吳祈紘,2019年4月19日,1,880, 這遊戲讓我無法接受，我們中華民國的國旗沒有在裡面，還沒有Taiwan，想用國際版了還搞這招，不想玩了，浪費我的時間，玩個遊戲也要侮辱玩家，你們遊戲做的還真好呀，恭喜你們成功成為恥辱。,
30,芷寧,2019年4月19日,1,166, 好玩的遊戲，可惜硬要扯政治，遊戲歸遊戲好嗎，我國中華民國是獨立主權國家，請更改遊戲內國家名稱，給與台灣玩家尊重，而非啥鬼爛china taipei，噁心！,
31,Love Palmy,2019年4月25日,5,24, 好玩，但嚴重懷疑大部份玩家是機器人，總是先看到我然後開槍打我又不痛，我射他沒幾下他就葛屁了，還會呆呆的站著給我打,
32,田恩,2019年4月28日,3,1204, 為什麼狙擊特訓不能玩我等了很久都沒等到請改善 還有記得要更新出台灣國旗喔 這樣就不會再被罵了,
