,Author Name,Review Date,Reviewer Ratings,Review Body,Developer Reply,Review Likes
1,*芙亞,2019年6月4日,4, 比熊貓快，可選的範圍也比熊貓遠，追蹤系統也很準確又方便，不過優惠較少，想問之前可以看到店家營業時間，現在怎麼看不到了？,,4
2,Jun Lin,2019年6月4日,4, 為什麼麥當勞超值全餐沒有升級飲料的選項，只能另外加點,,4
3,TT SS,2019年6月5日,5, 給的優惠很大，新用戶可以便宜吃到各家食物，若有貨到付款服務會更好~,,1
4,Kohan Wang,2019年6月5日,4, 六月限時美食優惠，使用代碼eats-dvsp3u66ue即可領取$200折抵五次，使用期限至2019/07/31止,,45
5,醬醬,2019年6月4日,5, 輸入優惠碼拿折價券喔eats-zsxw3r 讓你首次購物折很多!,,2
6,Wan-Yu Deng,2019年6月5日,5, 只要使用我的邀請代碼：eats-8rr6z6e3ue，首 2 次透過 #Uber Eats 優食訂購即可享有 NT$60 的折扣優惠。,,0
7,CK CK,2019年6月2日,5, 來來來馬上送你300元 😊 1. 先輸入此邀請碼 eats-027vg1 獲得2次100元 2. 再輸入 eatstw 可獲得100元 共300元的外送折抵費哦歡迎輸入❤❤❤,,436
8,藍娜,2019年6月2日,1, 同一家店 外送費熊貓29元 Uber 30元 也就算了 Uber 在店家的 餐點 偷偷加價 同一家店 跟熊貓的價格 不一致 Uber 不太老實 要訂的人比較一下,,7
9,CP C,2019年6月5日,5, 輸入此代碼「eats-7bwr3q7que」，即可獲得NT$120 的折扣券，請多多利用唷 ☺️,,106
10,李衛,2019年6月2日,1, 第一次註冊 自己的信箱就被註冊了 所在地不支援外送 要刪軟體還沒有地方可以刪信用卡資料,,22
11,陳文勳,2019年6月3日,1, 定位後地址錯誤問題一堆 一直顯示位置無法送達 還不能設定時間,,14
12,Luke Liao,2019年6月2日,1, 不小心按錯，立刻按取消卻也要付全額，結果既沒有收到餐點，也付了全額,,4
13,暗陰羊,2019年6月2日,3, 兩支手機不一樣運費差兩倍是怎樣,,1
14,吳誌偉,2019年6月5日,5, 最新序號，送你500$折抵費，先輸入eats-thqxo，再輸入eatstw，再輸入eatstaipei，再輸入EATSinrain，再輸入eatswk0403,,413
15,Scott Cheng,2019年6月5日,5, 🔥真正1500免費吃爽爽，快輸入優惠碼💥👉eats-4x1uhrm5ue👈,,194
16,Vivian yang,2019年6月4日,3, Uber eats外送餐以前可以選時段，但現在越來越退步，變成都不能選擇到餐時間了。,,0
17,Vena Chen,2019年6月3日,1, 付款方式不能現金付款 又不能刪除信用卡資料 真的傻爆眼,,4
18,William Shiao,2019年6月5日,5, 幫忙分享優惠代碼 eats-odwzew,,0
19,邱淑雯,2019年6月2日,5, 輸入優惠碼eats-es2n1u 優惠80元,,1
20,李聖德,2019年6月3日,1, 才點一個午餐，並準時取餐，帳號就被鎖了，可以再爛一點,,3
21,Chien-Chuan Hung,2019年6月1日,5, eats-qja8zue 用以上代碼共享80喔,,0
