,Author Name,Review Date,Reviewer Ratings,Review Body,Developer Reply,Review Likes
1,蘇于葶,2019年6月3日,4, 在家叫外送好輕鬆～快輸入我的優惠碼96077188就可獲得《有無快送》首購折抵NT$100優惠券,,0
2,S Lin,2019年5月25日,5, 新朋友請輸入推薦優惠碼：04574846，可以獲得折扣優惠喔；美食店家、外送服務…，現在運作上面都進步很多^^大家一起來點餐外送吧～,,17
3,張玉琳,2019年6月1日,1, 新店市區不在服務範圍內……可惜~本想換別家試試，程式中的貨到付款的交易，方便無信用卡的人使用~這點很方便！,,0
4,Vivian yang,2019年6月3日,3, 不錯用，外送很快。但地址搜尋有問題，打松山區地圖確一直跑出松山鎮，改都改不了，結帳時又說地址有誤，無法結帳，請盡快改善。,,1
5,Daniel Chi,2019年5月28日,4, 輸入 81655932 即可獲得優惠券哦,,1
6,王士哲,2019年6月1日,5, 這行銷專員瘋了吧，輸入優惠碼59621161，即可獲得100元優惠券，不賺白不賺！！！真的很划算！！！！！,,46
7,Stacey Lin,2019年5月21日,5, 在家叫外送好輕鬆～快輸入我的優惠碼80192961就可獲得《有無外送》首購折抵NT$100優惠券，兌換後30天內都可以使用，快來訂餐享好康！(限北北桃地區),,2
8,簡維尼,2019年5月30日,5, 在家叫外送好輕鬆～快輸入我的優惠碼82118584就可獲得《有無外送》首購折抵NT$100優惠券，兌換後30天內都可以使用，快來訂餐享好康！(限北北桃地區）,,0
9,喵嗚,2019年6月5日,5, 首購輸入優惠碼98965524就可獲得折抵NT$100優惠券,,0
10,楊娟尊,2019年5月28日,5, 輸入我的優惠碼00289978首購滿200折100唷~,,0
11,Amber Huang,2019年6月1日,5, 優惠碼38808460就可獲得《有無外送》首購折抵NT$100優惠券,,0
12,Claire Ch,2019年5月28日,5, 客服態度良好反應迅速，遲到有補償折價券很有誠意，騎士態度良好,,0
13,Focus K,2019年5月30日,2, 根本不在服務區域內，優惠瑪根本白用= =,,5
14,Suchi Lin,2019年5月28日,5, 輸入優惠碼：30584603，購滿200元，可享餐點100元折扣優惠，打幾個數字現省100元唷…✌,,1
15,JO-CHYI LAY,2019年5月21日,5, 外送時程清楚呈現，外送員服務佳，整體而言，APP不錯用。,,1
16,元氣排長,2019年6月3日,4, 希望移除已經歇業店家,,0
17,Yu-hua Hsieh,2019年5月28日,5, 遲到有給補償，客服回應迅速，騎士態度良好,,0
18,琇琇,2019年5月22日,5, 輸入64734665，即可折抵$100元唷~,,1
19,蔡松翰,2019年6月1日,5, 不用怕訂單取消,,0
20,李沁潔,2019年5月24日,5, 服務好，送貨速度很快,,0
21,dynamic boy eric,2019年5月31日,5, 還不錯！,,0
22,吳水來,2019年5月29日,5, 好用方便,,0
23,張米米,2019年5月30日,5, 蘆竹街有送，超級感動。,,0
24,張純瑋,2019年6月2日,5, 使用方便，很容易上手。,,0
25,張春振,2019年5月20日,5, 準時送達,,1
26,小鮮肉,2019年5月28日,5, 好用,,0
27,甄甄王,2019年5月26日,5, 好用,,0
28,陳貞諺,2019年5月25日,5, 方便 快速,,0
29,Meng-Ting Wang,2019年5月28日,5, 好用,,0
30,呂野貓,2019年5月22日,5, 方便,,1
31,捲毛博士,2019年5月26日,5, 讚,,0
32,WZ wong,2019年5月26日,5, 讚,,0
33,宮欽宏,2019年5月29日,5, 不錯,,0
34,Momo Ko,2019年5月29日,5, 😊,,0
35,Anthea lee,2019年5月20日,5, 輸入優惠推薦碼12673516 ，首次體驗有無快送可享200元折100元首購優惠喔，謝謝您,有無科技2018年4月24日(^y^),9
36,陳思蓉,2019年5月3日,5, 對住院病人來說非常方便，希望可以再增加服務區域與店家~!造福更多不方便出門的人~!謝謝。,,14
37,謝佩妤,2019年5月21日,3, 只能有大概的到達時間不方便,有無科技2019年5月23日編會轉給相關單位呦★,0
